演奏会名,日にち,会場,演奏曲目,指揮,協演,備考
第1回,1957/12/6,虎ノ門共済会館,1．黒人霊歌<br>2．Robert Shaw Albumより<br>3．「月光とピエロ」(清水脩)<br>賛助ステージ：<br>高等学院グリークラブ*1<br>いらか会合唱団*2<br>合同ステージ：エマーソン・アルバム*3,高橋誠(1、*3)<br>内藤多四郎(2)<br>関屋晋(3)<br>福田秀晴(*1)<br>岡山尚幹(*2),<br>"",<br>""
第2回,1958/12/6,中野ホール,1．Robert Shaw Albumより<br>2．「三つの俗歌」(清水脩)<br>3．「富士山」より(多田武彦)<br>4．ポピュラー曲集(オクラホマ、スワニー、枯葉その他)<br>賛助ステージ：高等学院グリークラブ*1,関屋晋(1)(3)(4)<br>潮銃太郎(1)<br>福田秀晴(*1),室岡貞子(4),<br>""
第3回,1959/6/12,日本青年館ホール,1．「Natus In Curas Op.22-2」「UKKO Op.32」(シベリウス)<br>2．「富士山」(多田武彦)<br>3．ポピュラー曲集(煙が目にしみる、ｻﾏｰ・ﾀｲﾑ、ﾋﾞｷﾞﾝ・ｻﾞ・ﾋﾞｷﾞﾝ他)<br>賛助ステージ：高等学院グリークラブ*1　いらか会合唱団*2,関屋晋(1)(2)(3)(*1)<br>岡山尚幹(*2),室岡貞子(1)(3),<br>""
第4回,1959/12/7,砂防会館ホール,1．黒人霊歌<br>2．冬のセレナーデ、戦士(サン＝サーンス)<br>3．ミュージカル「学生王子」より行進曲、他<br>賛助ステージ：高等学院グリークラブ*1　いらか会合唱団*2,関屋晋(1)(2),<br>"",(3)と賛助ステージの指揮不明
第5回,1960/12/4,九段会館,1．黒人霊歌<br>2．邦人作品集<br>3．Rhythsms from South<br>賛助ステージ<br> 高等学院グリークラブ*1　ロシア民謡　<br> いらか会合唱団*2　「山に祈る」(清水脩),関屋晋(1)(2)(3)<br>越後友雄(*1)<br>岡山尚幹(*2),ラス・ギターラス (3)<br>楢木昭子(*2)朗読<br>黒川洋子(*2)Pf,<br>""
第6回,1961/12/3,九段会館,1．Sea Chanties、黒人霊歌<br>2．「春の讃歌」「冬のセレナーデ」(サン＝サーンス)<br>3．「ポーギーとベス」より(ガーシュイン)<br>4．「大手拓次の三つの詩」(清水脩)<br>賛助ステージ<br>　いらか会合唱団「藁科」(多田武彦)<br>合同ステージ<br>　「月光とピエロ」(清水脩),<br>"",室岡貞子(3),<br>""
第7回(第1回甍演奏会),1962/6/18,共立講堂,1．「ドイツ・ミサ」より(シューベルト)[学院][フリューゲル]<br>2．ロシア民謡集[学院]<br>　　ともしび、ヴォルガの舟歌、コサックの子守唄、12人の盗賊、<br>　　レズギンカ<br>3．シャンソン集(福永陽一郎編曲)[フリューゲル]<br>　　ラ・メール、パリのお嬢さん、枯葉、バラ色の桜んぼと白いリンゴ<br>　　の花、愛の讃歌<br>4．「青い照明」(清水脩)[いらか]<br>5．「枯木と太陽の歌」(石井歓)[合同],関屋晋(1)(2)(3)(4)<br>福永陽一郎(5),室岡貞子(3)Pf<br>三浦洋一(5)Pf,<br>""
第8回,1962/12/6,共立講堂,1．Robert Shaw Albumより<br>2．日本民謡集<br>3．ミュージカル「学生王子」よりセレナード、乾杯の歌他<br>　　「サウンド・オブ・ミュージック」よりド・レ・ミの歌他<br>4．「昨日いらっしゃってください」(福永陽一郎)<br>5．「大手拓次の三つの詩」より(清水脩)<br>6．「中勘助の詩から」(多田武彦),関屋晋(1)(3)(5)<br>福田秀晴(2)<br>福永陽一郎(4)(6),岡崎百合子(1)solo<br>室岡貞子(3)Pf,ヴォイス・トレーナーとして大久保昭男先生を迎える。
第9回,1963/12/21,共立講堂,1．「日本の笛」(平井康三郎)<br>2．黒人霊歌<br>3．「在りし日の歌」(多田武彦)<br>4．ミュージカル「My Fair Lady」より,関屋晋(1)(2)(3)(4),<br>"",共演者不明
第10回,Dec-64,<br>"",1．イタリア古典派歌曲集<br>2．「人間の歌」(多田武彦)<br>3．「ルボフ合唱曲集」(ノーマン)<br>4．「ミサ曲第2番」(グノー),関屋晋(1)(4)<br>越後友雄(2)<br>福永陽一郎(3),<br>"",共演者不明
第11回,Dec-65,<br>"",<br>1. 「海」(髙田三郎)　<br>2. 「恍惚のとき」(北村協一編曲)<br>3. フリューゲル愛唱歌集より<br>,関屋晋(1)(2)(3),細川哲朗(3)Pf,<br>""
